Metric,Detail1,Detail2,Detail3,Detail4,Data Date (MM/DD/YYYY),GeographicLevel,GeographicName,Value_NUMBER,Units,MOST RECENT DATA,COVID Team,Date and time of update,Subgroup,Value_Text,URLLINK
# of Ventilators (ordered),Ventilators,CAPACITY,On back order,,12/14/2020,State,Minnesota,0,ventilators,,Hospital Surge Capacity,12/14/2020,,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
# of Ventilators (ordered),Ventilators,CAPACITY,In warehouse,,12/14/2020,State,Minnesota,123,ventilators,,Hospital Surge Capacity,12/14/2020,,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
  $ Available to MN  ,State Funds,State,  Available  ,,12/11/2020,State,Minnesota,563781848,dollars,1,Funding,12/31/2020,563.8,$564M,https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Available to MN  ,Coronavirus Relief Fund - Local,Federal,  Available  ,,7/14/2020,State,Minnesota,1158370613,dollars,1,Funding,12/31/2020,1158.4,"$1,158M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Available to MN  ,Coronavirus Relief Fund - State,Federal,  Available  ,,12/11/2020,State,Minnesota,1036008945,dollars,1,Funding,12/31/2020,1036,"$1,036M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Available to MN  ,Grant/Formula Allocation,Federal,  Available  ,,9/22/2020,State,Minnesota,1400184966,dollars,1,Funding,12/31/2020,1400.2,"$1,400M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Spending Authority Granted  ,Coronavirus Relief Fund - Local,Federal,  Authority granted  ,,7/14/2020,State,Minnesota,1158370613,dollars,1,Funding,12/31/2020,1158.4,"$1,158M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Spending Authority Granted  ,Grant/Formula Allocation,Federal,  Authority granted  ,,10/26/2020,State,Minnesota,1316612420,dollars,1,Funding,12/31/2020,1316.6,"$1,317M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Spending Authority Granted  ,Coronavirus Relief Fund - State,Federal,  Authority granted  ,,12/30/2020,State,Minnesota,1038943575,dollars,1,Funding,12/31/2020,1038.9,"$1,039M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Spending Authority Granted  ,State Funds,State,  Authority granted  ,,1/4/2021,State,Minnesota,531899074,dollars,1,Funding,12/31/2020,621.3,$621M,https://mn.gov/mmb/budget/covid19-mn-fund/
# of Face masks,Awaiting Delivery,Total,,,3/19/2021,State,Minnesota,0,Face masks,,Critical Care Supplies,3/19/2021,,0M,https://www.mn.gov/ppe
# of Face shields,Awaiting Delivery,Total,,,3/19/2021,State,Minnesota,99000,Face shields*,,Critical Care Supplies,3/19/2021,,0,https://www.mn.gov/ppe
# of Gloves (non-latex),Awaiting Delivery,Total,,,3/19/2021,State,Minnesota,"12,115,250",Gloves (non-latex),,Critical Care Supplies,3/19/2021,,12.1M,https://www.mn.gov/ppe
# of Gowns,Awaiting Delivery,Total,,,3/19/2021,State,Minnesota,0,Gowns*,,Critical Care Supplies,3/19/2021,,0,https://www.mn.gov/ppe
# of N95 respirators,Awaiting Delivery,Total,,,3/19/2021,State,Minnesota,0,N95 respirators,,Critical Care Supplies,3/19/2021,,0M,https://www.mn.gov/ppe
# of Face masks,Current inventory,Total,,,3/19/2021,State,Minnesota,"8,331,414",Face masks,,Critical Care Supplies,3/19/2021,,8.3M,https://www.mn.gov/ppe
# of Face shields,Current inventory,Total,,,3/19/2021,State,Minnesota,"2,709,693",Face shields*,,Critical Care Supplies,3/19/2021,,2.7M,https://www.mn.gov/ppe
# of Gloves (non-latex),Current inventory,Total,,,3/19/2021,State,Minnesota,"39,573,600",Gloves (non-latex),,Critical Care Supplies,3/19/2021,,39.6M,https://www.mn.gov/ppe
# of Gowns,Current inventory,Total,,,3/19/2021,State,Minnesota,"5,990,455",Gowns*,,Critical Care Supplies,3/19/2021,,6M,https://www.mn.gov/ppe
# of N95 respirators,Current inventory,Total,,,3/19/2021,State,Minnesota,"2,809,948",N95 respirators,,Critical Care Supplies,3/19/2021,,2.8M,https://www.mn.gov/ppe
# of Face masks,Distributed,Total,,,3/19/2021,State,Minnesota,"15,131,836",Face masks,,Critical Care Supplies,3/19/2021,,15.1M,https://www.mn.gov/ppe
# of Face shields,Distributed,Total,,,3/19/2021,State,Minnesota,892344,Face shields*,,Critical Care Supplies,3/19/2021,,892K,https://www.mn.gov/ppe
# of Gloves (non-latex),Distributed,Total,,,3/19/2021,State,Minnesota,"17,643,199",Gloves (non-latex),,Critical Care Supplies,3/19/2021,,17.6M,https://www.mn.gov/ppe
# of Gowns,Distributed,Total,,,3/19/2021,State,Minnesota,"1,096,538",Gowns*,,Critical Care Supplies,3/19/2021,,1.1M,https://www.mn.gov/ppe
# of N95 respirators,Distributed,Total,,,3/19/2021,State,Minnesota,"262,893",N95 respirators,,Critical Care Supplies,3/19/2021,,263K,https://www.mn.gov/ppe
# of Face masks,Obtained,Total,,,3/19/2021,State,Minnesota,"23,463,250",Face masks,,Critical Care Supplies,3/19/2021,,23.5M,https://www.mn.gov/ppe
# of Face shields,Obtained,Total,,,3/19/2021,State,Minnesota,"3,602,037",Face shields*,,Critical Care Supplies,3/19/2021,,3.6M,https://www.mn.gov/ppe
# of Gloves (non-latex),Obtained,Total,,,3/19/2021,State,Minnesota,"57,216,799",Gloves (non-latex),,Critical Care Supplies,3/19/2021,,57.2M,https://www.mn.gov/ppe
# of Gowns,Obtained,Total,,,3/19/2021,State,Minnesota,"7,086,993",Gowns*,,Critical Care Supplies,3/19/2021,,7.1M,https://www.mn.gov/ppe
# of N95 respirators,Obtained,Total,,,3/19/2021,State,Minnesota,"3,072,841",N95 respirators,,Critical Care Supplies,3/19/2021,,3.1M,https://www.mn.gov/ppe
Number of beds,Beds,Capacity,Surge,,3/22/2021,Regional Health Care,Central,181,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/22/2021,Regional Health Care,Metro,480,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/22/2021,Regional Health Care,Northeast,107,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/22/2021,Regional Health Care,Northwest,35,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/22/2021,Regional Health Care,South Central,49,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/22/2021,Regional Health Care,Southeast,76,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/22/2021,Regional Health Care,Southwest,14,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/22/2021,Regional Health Care,West Central,14,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/22/2021,State,Minnesota,956,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/22/2021,Regional Health Care,Central,0,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/22/2021,Regional Health Care,Metro,0,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/22/2021,Regional Health Care,Northeast,0,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/22/2021,Regional Health Care,Northwest,0,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/22/2021,Regional Health Care,South Central,0,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/22/2021,Regional Health Care,Southeast,0,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/22/2021,Regional Health Care,Southwest,0,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/22/2021,Regional Health Care,West Central,0,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/22/2021,State,Minnesota,0,Beds,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,3/22/2021,Regional Health Care,Central,148,Ventilators,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,3/22/2021,Regional Health Care,Metro,898,Ventilators,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,3/22/2021,Regional Health Care,Northeast,179,Ventilators,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,3/22/2021,Regional Health Care,Northwest,42,Ventilators,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,3/22/2021,Regional Health Care,South Central,52,Ventilators,1,Hospital Surge Capacity,3/22/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
