Metric,Detail1,Detail2,Detail3,Detail4,Data Date (MM/DD/YYYY),GeographicLevel,GeographicName,Value_NUMBER,Units,MOST RECENT DATA,COVID Team,Date and time of update,Subgroup,Value_Text,URLLINK
# of Ventilators (ordered),Ventilators,CAPACITY,On back order,,12/14/2020,State,Minnesota,0,ventilators,,Hospital Surge Capacity,12/14/2020,,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
# of Ventilators (ordered),Ventilators,CAPACITY,In warehouse,,12/14/2020,State,Minnesota,123,ventilators,,Hospital Surge Capacity,12/14/2020,,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
  $ Available to MN  ,State Funds,State,  Available  ,,12/11/2020,State,Minnesota,563781848,dollars,1,Funding,12/31/2020,563.8,$564M,https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Available to MN  ,Coronavirus Relief Fund - Local,Federal,  Available  ,,7/14/2020,State,Minnesota,1158370613,dollars,1,Funding,12/31/2020,1158.4,"$1,158M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Available to MN  ,Coronavirus Relief Fund - State,Federal,  Available  ,,12/11/2020,State,Minnesota,1036008945,dollars,1,Funding,12/31/2020,1036,"$1,036M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Available to MN  ,Grant/Formula Allocation,Federal,  Available  ,,9/22/2020,State,Minnesota,1400184966,dollars,1,Funding,12/31/2020,1400.2,"$1,400M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Spending Authority Granted  ,Coronavirus Relief Fund - Local,Federal,  Authority granted  ,,7/14/2020,State,Minnesota,1158370613,dollars,1,Funding,12/31/2020,1158.4,"$1,158M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Spending Authority Granted  ,Grant/Formula Allocation,Federal,  Authority granted  ,,10/26/2020,State,Minnesota,1316612420,dollars,1,Funding,12/31/2020,1316.6,"$1,317M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Spending Authority Granted  ,Coronavirus Relief Fund - State,Federal,  Authority granted  ,,12/30/2020,State,Minnesota,1038943575,dollars,1,Funding,12/31/2020,1038.9,"$1,039M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Spending Authority Granted  ,State Funds,State,  Authority granted  ,,1/4/2021,State,Minnesota,531899074,dollars,1,Funding,12/31/2020,621.3,$621M,https://mn.gov/mmb/budget/covid19-mn-fund/
# of Face masks,Awaiting Delivery,Total,,,2/19/2021,State,Minnesota,0,Face masks,,Critical Care Supplies,2/19/2021,,0M,https://www.mn.gov/ppe
# of Face shields,Awaiting Delivery,Total,,,2/19/2021,State,Minnesota,120000,Face shields*,,Critical Care Supplies,2/19/2021,,0,https://www.mn.gov/ppe
# of Gloves (non-latex),Awaiting Delivery,Total,,,2/19/2021,State,Minnesota,"11,064,000",Gloves (non-latex),,Critical Care Supplies,2/19/2021,,11.1M,https://www.mn.gov/ppe
# of Gowns,Awaiting Delivery,Total,,,2/19/2021,State,Minnesota,0,Gowns*,,Critical Care Supplies,2/19/2021,,0,https://www.mn.gov/ppe
# of N95 respirators,Awaiting Delivery,Total,,,2/19/2021,State,Minnesota,0,N95 respirators,,Critical Care Supplies,2/19/2021,,0M,https://www.mn.gov/ppe
# of Face masks,Current inventory,Total,,,2/19/2021,State,Minnesota,"8,259,464",Face masks,,Critical Care Supplies,2/19/2021,,8.3M,https://www.mn.gov/ppe
# of Face shields,Current inventory,Total,,,2/19/2021,State,Minnesota,"782,663",Face shields*,,Critical Care Supplies,2/19/2021,,0.8M,https://www.mn.gov/ppe
# of Gloves (non-latex),Current inventory,Total,,,2/19/2021,State,Minnesota,"38,788,970",Gloves (non-latex),,Critical Care Supplies,2/19/2021,,38.8M,https://www.mn.gov/ppe
# of Gowns,Current inventory,Total,,,2/19/2021,State,Minnesota,"6,033,194",Gowns*,,Critical Care Supplies,2/19/2021,,6M,https://www.mn.gov/ppe
# of N95 respirators,Current inventory,Total,,,2/19/2021,State,Minnesota,"2,308,340",N95 respirators,,Critical Care Supplies,2/19/2021,,2.3M,https://www.mn.gov/ppe
# of Face masks,Distributed,Total,,,2/19/2021,State,Minnesota,"15,217,336",Face masks,,Critical Care Supplies,2/19/2021,,15.2M,https://www.mn.gov/ppe
# of Face shields,Distributed,Total,,,2/19/2021,State,Minnesota,899519,Face shields*,,Critical Care Supplies,2/19/2021,,900K,https://www.mn.gov/ppe
# of Gloves (non-latex),Distributed,Total,,,2/19/2021,State,Minnesota,"17,724,965",Gloves (non-latex),,Critical Care Supplies,2/19/2021,,17.7M,https://www.mn.gov/ppe
# of Gowns,Distributed,Total,,,2/19/2021,State,Minnesota,"1,096,824",Gowns*,,Critical Care Supplies,2/19/2021,,1.1M,https://www.mn.gov/ppe
# of N95 respirators,Distributed,Total,,,2/19/2021,State,Minnesota,"260,751",N95 respirators,,Critical Care Supplies,2/19/2021,,261K,https://www.mn.gov/ppe
# of Face masks,Obtained,Total,,,2/19/2021,State,Minnesota,"23,476,800",Face masks,,Critical Care Supplies,2/19/2021,,23.5M,https://www.mn.gov/ppe
# of Face shields,Obtained,Total,,,2/19/2021,State,Minnesota,"1,682,182",Face shields*,,Critical Care Supplies,2/19/2021,,1.7M,https://www.mn.gov/ppe
# of Gloves (non-latex),Obtained,Total,,,2/19/2021,State,Minnesota,"56,513,935",Gloves (non-latex),,Critical Care Supplies,2/19/2021,,56.5M,https://www.mn.gov/ppe
# of Gowns,Obtained,Total,,,2/19/2021,State,Minnesota,"7,130,018",Gowns*,,Critical Care Supplies,2/19/2021,,7.1M,https://www.mn.gov/ppe
# of N95 respirators,Obtained,Total,,,2/19/2021,State,Minnesota,"2,569,091",N95 respirators,,Critical Care Supplies,2/19/2021,,2.6M,https://www.mn.gov/ppe
Number of beds,Beds,Capacity,Surge,,2/23/2021,Regional Health Care,Central,181,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,2/23/2021,Regional Health Care,Metro,480,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,2/23/2021,Regional Health Care,Northeast,107,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,2/23/2021,Regional Health Care,Northwest,35,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,2/23/2021,Regional Health Care,South Central,49,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,2/23/2021,Regional Health Care,Southeast,76,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,2/23/2021,Regional Health Care,Southwest,14,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,2/23/2021,Regional Health Care,West Central,14,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,2/23/2021,State,Minnesota,956,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,2/23/2021,Regional Health Care,Central,0,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,2/23/2021,Regional Health Care,Metro,0,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,2/23/2021,Regional Health Care,Northeast,0,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,2/23/2021,Regional Health Care,Northwest,0,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,2/23/2021,Regional Health Care,South Central,0,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,2/23/2021,Regional Health Care,Southeast,0,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,2/23/2021,Regional Health Care,Southwest,0,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,2/23/2021,Regional Health Care,West Central,0,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,2/23/2021,State,Minnesota,0,Beds,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,2/23/2021,Regional Health Care,Central,148,Ventilators,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,2/23/2021,Regional Health Care,Metro,899,Ventilators,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,2/23/2021,Regional Health Care,Northeast,179,Ventilators,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,2/23/2021,Regional Health Care,Northwest,42,Ventilators,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,2/23/2021,Regional Health Care,South Central,52,Ventilators,1,Hospital Surge Capacity,2/23/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
